Letter,English,French,German,Spanish,Portuguese,Esperanto,Italian,Turkish,Swedish,Polish,Dutch,Danish,Icelandic,Finnish,Czech
ň,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001
ò,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ö,0,0,0.0044,0,0,0,0,0.0078,0.0131,0,0,0,0.0078,0.0044,0
ô,0,0.0002,0,0,0.0064,0,0,0,0,0,0,0,0,0,0
ó,0,0,0,0.0083,0.003,0,0,0,0,0.0085,0,0,0.0099,0,0.0002
õ,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0,0
ø,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0
ř,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038
ŝ,0,0,0,0,0,0.0039,0,0,0,0,0,0,0,0,0
ş,0,0,0,0,0,0,0,0.0178,0,0,0,0,0,0,0
ś,0,0,0,0,0,0,0,0,0,0.0066,0,0,0,0,0
š,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069
ß,0,0,0.0031,0,0,0,0,0,0,0,0,0,0,0,0
ť,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001
þ,0,0,0,0,0,0,0,0,0,0,0,0,0.0146,0,0
ù,0,0.0006,0,0,0,0,-0.0017,0,0,0,0,0,0,0,0
ú,0,0,0,0.0017,0.0021,0,0.0017,0,0,0,0,0,0.0061,0,0.0005
û,0,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0
ŭ,0,0,0,0,0,0.0052,0,0,0,0,0,0,0,0,0
ü,0,0,0.01,0.0001,0.0003,0,0,0.0185,0,0,0,0,0,0,0
ů,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002
ý,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0,0.01
ź,0,0,0,0,0,0,0,0,0,0.0006,0,0,0,0,0
ż,0,0,0,0,0,0,0,0,0,0.0083,0,0,0,0,0
ž,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072
